algorithm,dataset,n,epsilon,min_pts,repeat,total_time,num_clusters,num_noise
boxgraph,variable_density_blobs,1000,0.075,5,2,3.3999676816165447e-06,0,1000
linear,variable_density_blobs,1000,0.1,5,0,1.6999547369778156e-06,0,1000
quadtree,variable_density_blobs,1000,0.1,5,0,3.500026650726795e-06,0,1000
boxgraph,variable_density_blobs,1000,0.1,5,0,2.600019797682762e-06,0,1000
linear,variable_density_blobs,1000,0.1,5,1,1.7999554984271526e-06,0,1000
quadtree,variable_density_blobs,1000,0.1,5,1,2.600019797682762e-06,0,1000
boxgraph,variable_density_blobs,1000,0.1,5,1,2.5999615900218487e-06,0,1000
linear,variable_density_blobs,1000,0.1,5,2,1.600012183189392e-06,0,1000
quadtree,variable_density_blobs,1000,0.1,5,2,2.4999608285725117e-06,0,1000
boxgraph,variable_density_blobs,1000,0.1,5,2,2.800021320581436e-06,0,1000
linear,variable_density_blobs,1000,0.15,5,0,1.9000144675374031e-06,0,1000
quadtree,variable_density_blobs,1000,0.15,5,0,2.500019036233425e-06,0,1000
boxgraph,variable_density_blobs,1000,0.15,5,0,2.400018274784088e-06,0,1000
linear,variable_density_blobs,1000,0.15,5,1,1.6999547369778156e-06,0,1000
quadtree,variable_density_blobs,1000,0.15,5,1,2.900022082030773e-06,0,1000
boxgraph,variable_density_blobs,1000,0.15,5,1,2.800021320581436e-06,0,1000
linear,variable_density_blobs,1000,0.15,5,2,1.800013706088066e-06,0,1000
quadtree,variable_density_blobs,1000,0.15,5,2,2.4999608285725117e-06,0,1000
boxgraph,variable_density_blobs,1000,0.15,5,2,2.500019036233425e-06,0,1000
linear,variable_density_blobs,5000,0.03,5,0,2.100015990436077e-06,0,5000
quadtree,variable_density_blobs,5000,0.03,5,0,5.299982149153948e-06,0,5000
boxgraph,variable_density_blobs,5000,0.03,5,0,5.099980626255274e-06,0,5000
linear,variable_density_blobs,5000,0.03,5,1,4.700035788118839e-06,0,5000
quadtree,variable_density_blobs,5000,0.03,5,1,5.299982149153948e-06,0,5000
boxgraph,variable_density_blobs,5000,0.03,5,1,5.299982149153948e-06,0,5000
linear,variable_density_blobs,5000,0.03,5,2,4.600035026669502e-06,0,5000
quadtree,variable_density_blobs,5000,0.03,5,2,5.199981387704611e-06,0,5000
boxgraph,variable_density_blobs,5000,0.03,5,2,8.500006515532732e-06,0,5000
linear,variable_density_blobs,5000,0.05,5,0,4.999979864805937e-06,0,5000
quadtree,variable_density_blobs,5000,0.05,5,0,8.700008038431406e-06,0,5000
boxgraph,variable_density_blobs,5000,0.05,5,0,5.400041118264198e-06,0,5000
linear,variable_density_blobs,5000,0.05,5,1,4.800036549568176e-06,0,5000
quadtree,variable_density_blobs,5000,0.05,5,1,5.300040356814861e-06,0,5000
boxgraph,variable_density_blobs,5000,0.05,5,1,5.100038833916187e-06,0,5000
linear,variable_density_blobs,5000,0.05,5,2,4.600035026669502e-06,0,5000
quadtree,variable_density_blobs,5000,0.05,5,2,5.099980626255274e-06,0,5000
boxgraph,variable_density_blobs,5000,0.05,5,2,5.200039595365524e-06,0,5000
linear,variable_density_blobs,5000,0.075,5,0,4.600035026669502e-06,0,5000
quadtree,variable_density_blobs,5000,0.075,5,0,5.299982149153948e-06,0,5000
boxgraph,variable_density_blobs,5000,0.075,5,0,5.100038833916187e-06,0,5000
linear,variable_density_blobs,5000,0.075,5,1,4.699977580457926e-06,0,5000
quadtree,variable_density_blobs,5000,0.075,5,1,8.500006515532732e-06,0,5000
boxgraph,variable_density_blobs,5000,0.075,5,1,5.299982149153948e-06,0,5000
linear,variable_density_blobs,5000,0.075,5,2,4.700035788118839e-06,0,5000
quadtree,variable_density_blobs,5000,0.075,5,2,5.599984433501959e-06,0,5000
boxgraph,variable_density_blobs,5000,0.075,5,2,4.8999791033566e-06,0,5000
linear,variable_density_blobs,5000,0.1,5,0,4.599976819008589e-06,0,5000
quadtree,variable_density_blobs,5000,0.1,5,0,5.099980626255274e-06,0,5000
boxgraph,variable_density_blobs,5000,0.1,5,0,5.299982149153948e-06,0,5000
linear,variable_density_blobs,5000,0.1,5,1,4.8999791033566e-06,0,5000
quadtree,variable_density_blobs,5000,0.1,5,1,5.499983672052622e-06,0,5000
boxgraph,variable_density_blobs,5000,0.1,5,1,5.099980626255274e-06,0,5000
linear,variable_density_blobs,5000,0.1,5,2,4.499976057559252e-06,0,5000
quadtree,variable_density_blobs,5000,0.1,5,2,5.099980626255274e-06,0,5000
boxgraph,variable_density_blobs,5000,0.1,5,2,5.400041118264198e-06,0,5000
linear,variable_density_blobs,5000,0.15,5,0,4.600035026669502e-06,0,5000
quadtree,variable_density_blobs,5000,0.15,5,0,5.300040356814861e-06,0,5000
boxgraph,variable_density_blobs,5000,0.15,5,0,5.100038833916187e-06,0,5000
linear,variable_density_blobs,5000,0.15,5,1,4.499976057559252e-06,0,5000
quadtree,variable_density_blobs,5000,0.15,5,1,5.099980626255274e-06,0,5000
boxgraph,variable_density_blobs,5000,0.15,5,1,5.299982149153948e-06,0,5000
linear,variable_density_blobs,5000,0.15,5,2,4.499976057559252e-06,0,5000
quadtree,variable_density_blobs,5000,0.15,5,2,5.299982149153948e-06,0,5000
boxgraph,variable_density_blobs,5000,0.15,5,2,5.00003807246685e-06,0,5000
linear,variable_density_blobs,10000,0.03,5,0,5.299982149153948e-06,0,10000
quadtree,variable_density_blobs,10000,0.03,5,0,1.5900004655122757e-05,0,10000
boxgraph,variable_density_blobs,10000,0.03,5,0,8.600007276982069e-06,0,10000
linear,variable_density_blobs,10000,0.03,5,1,8.100003469735384e-06,0,10000
quadtree,variable_density_blobs,10000,0.03,5,1,8.90000956133008e-06,0,10000
boxgraph,variable_density_blobs,10000,0.03,5,1,9.09995287656784e-06,0,10000
linear,variable_density_blobs,10000,0.03,5,2,8.09994526207447e-06,0,10000
quadtree,variable_density_blobs,10000,0.03,5,2,8.90000956133008e-06,0,10000
boxgraph,variable_density_blobs,10000,0.03,5,2,8.699949830770493e-06,0,10000
linear,variable_density_blobs,10000,0.05,5,0,8.100003469735384e-06,0,10000
quadtree,variable_density_blobs,10000,0.05,5,0,8.90000956133008e-06,0,10000
boxgraph,variable_density_blobs,10000,0.05,5,0,8.600007276982069e-06,0,10000
linear,variable_density_blobs,10000,0.05,5,1,8.100003469735384e-06,0,10000
quadtree,variable_density_blobs,10000,0.05,5,1,8.800008799880743e-06,0,10000
boxgraph,variable_density_blobs,10000,0.05,5,1,8.800008799880743e-06,0,10000
linear,variable_density_blobs,10000,0.05,5,2,8.000002708286047e-06,0,10000
quadtree,variable_density_blobs,10000,0.05,5,2,8.79995059221983e-06,0,10000
boxgraph,variable_density_blobs,10000,0.05,5,2,3.4100026823580265e-05,0,10000
linear,variable_density_blobs,10000,0.075,5,0,7.800001185387373e-06,0,10000
quadtree,variable_density_blobs,10000,0.075,5,0,8.700008038431406e-06,0,10000
boxgraph,variable_density_blobs,10000,0.075,5,0,8.700008038431406e-06,0,10000
linear,variable_density_blobs,10000,0.075,5,1,8.200004231184721e-06,0,10000
quadtree,variable_density_blobs,10000,0.075,5,1,8.700008038431406e-06,0,10000
boxgraph,variable_density_blobs,10000,0.075,5,1,8.500006515532732e-06,0,10000
linear,variable_density_blobs,10000,0.075,5,2,8.000002708286047e-06,0,10000
quadtree,variable_density_blobs,10000,0.075,5,2,8.700008038431406e-06,0,10000
boxgraph,variable_density_blobs,10000,0.075,5,2,8.700008038431406e-06,0,10000
linear,variable_density_blobs,10000,0.1,5,0,8.100003469735384e-06,0,10000
quadtree,variable_density_blobs,10000,0.1,5,0,8.800008799880743e-06,0,10000
boxgraph,variable_density_blobs,10000,0.1,5,0,8.79995059221983e-06,0,10000
linear,variable_density_blobs,10000,0.1,5,1,7.90000194683671e-06,0,10000
quadtree,variable_density_blobs,10000,0.1,5,1,8.90000956133008e-06,0,10000
boxgraph,variable_density_blobs,10000,0.1,5,1,8.700008038431406e-06,0,10000
linear,variable_density_blobs,10000,0.1,5,2,8.100003469735384e-06,0,10000
quadtree,variable_density_blobs,10000,0.1,5,2,8.700008038431406e-06,0,10000
boxgraph,variable_density_blobs,10000,0.1,5,2,8.79995059221983e-06,0,10000
linear,variable_density_blobs,10000,0.15,5,0,7.90000194683671e-06,0,10000
quadtree,variable_density_blobs,10000,0.15,5,0,8.700008038431406e-06,0,10000
boxgraph,variable_density_blobs,10000,0.15,5,0,8.600007276982069e-06,0,10000
linear,variable_density_blobs,10000,0.15,5,1,8.000002708286047e-06,0,10000
quadtree,variable_density_blobs,10000,0.15,5,1,8.700008038431406e-06,0,10000
boxgraph,variable_density_blobs,10000,0.15,5,1,8.600007276982069e-06,0,10000
linear,variable_density_blobs,10000,0.15,5,2,8.100003469735384e-06,0,10000
quadtree,variable_density_blobs,10000,0.15,5,2,8.600007276982069e-06,0,10000
boxgraph,variable_density_blobs,10000,0.15,5,2,8.700008038431406e-06,0,10000
linear,variable_density_blobs,25000,0.03,5,0,9.299954399466515e-06,0,25000
quadtree,variable_density_blobs,25000,0.03,5,0,1.9199971575289965e-05,0,25000
boxgraph,variable_density_blobs,25000,0.03,5,0,1.9300030544400215e-05,0,25000
linear,variable_density_blobs,25000,0.03,5,1,1.8300022929906845e-05,0,25000
quadtree,variable_density_blobs,25000,0.03,5,1,1.9499973859637976e-05,0,25000
boxgraph,variable_density_blobs,25000,0.03,5,1,1.9799976143985987e-05,0,25000
linear,variable_density_blobs,25000,0.03,5,2,1.899997005239129e-05,0,25000
quadtree,variable_density_blobs,25000,0.03,5,2,2.2199994418770075e-05,0,25000
boxgraph,variable_density_blobs,25000,0.03,5,2,1.9700033590197563e-05,0,25000
linear,variable_density_blobs,25000,0.05,5,0,2.080004196614027e-05,0,25000
quadtree,variable_density_blobs,25000,0.05,5,0,1.9899976905435324e-05,0,25000
boxgraph,variable_density_blobs,25000,0.05,5,0,1.98000343516469e-05,0,25000
linear,variable_density_blobs,25000,0.05,5,1,1.9000028260052204e-05,0,25000
quadtree,variable_density_blobs,25000,0.05,5,1,1.950003206729889e-05,0,25000
boxgraph,variable_density_blobs,25000,0.05,5,1,1.9899976905435324e-05,0,25000
linear,variable_density_blobs,25000,0.05,5,2,2.9799994081258774e-05,0,25000
quadtree,variable_density_blobs,25000,0.05,5,2,1.98000343516469e-05,0,25000
boxgraph,variable_density_blobs,25000,0.05,5,2,1.969997538253665e-05,0,25000
linear,variable_density_blobs,25000,0.075,5,0,1.8899969290941954e-05,0,25000
quadtree,variable_density_blobs,25000,0.075,5,0,1.9400031305849552e-05,0,25000
boxgraph,variable_density_blobs,25000,0.075,5,0,2.2299995180219412e-05,0,25000
linear,variable_density_blobs,25000,0.075,5,1,1.8900027498602867e-05,0,25000
quadtree,variable_density_blobs,25000,0.075,5,1,1.98000343516469e-05,0,25000
boxgraph,variable_density_blobs,25000,0.075,5,1,1.9499973859637976e-05,0,25000
linear,variable_density_blobs,25000,0.075,5,2,1.869996776804328e-05,0,25000
quadtree,variable_density_blobs,25000,0.075,5,2,1.950003206729889e-05,0,25000
boxgraph,variable_density_blobs,25000,0.075,5,2,1.92999723367393e-05,0,25000
linear,variable_density_blobs,25000,0.1,5,0,1.8700025975704193e-05,0,25000
quadtree,variable_density_blobs,25000,0.1,5,0,1.9600032828748226e-05,0,25000
boxgraph,variable_density_blobs,25000,0.1,5,0,1.9700033590197563e-05,0,25000
linear,variable_density_blobs,25000,0.1,5,1,2.7399975806474686e-05,0,25000
quadtree,variable_density_blobs,25000,0.1,5,1,1.969997538253665e-05,0,25000
boxgraph,variable_density_blobs,25000,0.1,5,1,2.2300053387880325e-05,0,25000
linear,variable_density_blobs,25000,0.1,5,2,1.8600025214254856e-05,0,25000
quadtree,variable_density_blobs,25000,0.1,5,2,1.939997309818864e-05,0,25000
boxgraph,variable_density_blobs,25000,0.1,5,2,1.9300030544400215e-05,0,25000
linear,variable_density_blobs,25000,0.15,5,0,1.9600032828748226e-05,0,25000
quadtree,variable_density_blobs,25000,0.15,5,0,1.9599974621087313e-05,0,25000
boxgraph,variable_density_blobs,25000,0.15,5,0,1.9200029782950878e-05,0,25000
linear,variable_density_blobs,25000,0.15,5,1,1.8599967006593943e-05,0,25000
quadtree,variable_density_blobs,25000,0.15,5,1,2.19999928958714e-05,0,25000
boxgraph,variable_density_blobs,25000,0.15,5,1,1.9499973859637976e-05,0,25000
linear,variable_density_blobs,25000,0.15,5,2,1.8900027498602867e-05,0,25000
quadtree,variable_density_blobs,25000,0.15,5,2,2.0499981474131346e-05,0,25000
boxgraph,variable_density_blobs,25000,0.15,5,2,1.9799976143985987e-05,0,25000
